IsSpam,Text
1, "WINNER!! You have been selected for a $1000 cash prize. Call now to claim your reward!"
1, "FREE entry! Text WIN to 80123 and claim your holiday prize worth $5000!"
1, "Congratulations! Your mobile number has won a brand new iPhone. Claim now!"
1, "URGENT: Your loan of $3000 is approved. Call us now to receive cash today!"
1, "You have won a guaranteed cash award. Call 0800 to claim before midnight!"
1, "SIX chances to win CASH! Text CASH to 84484 to enter. $150 prize every week!"
1, "FREE ringtone! Reply RING and get your free tone now! Opt out reply STOP"
1, "Claim your free gift now! Call 0800-GIFT and quote code WINNER"
1, "Your account has been credited with cash. Call to collect before it expires!"
1, "Urgent! You have been selected for our customer survey. Win $500 cash!"
1, "LIMITED time offer! Apply now for a personal loan up to $10000. No credit check!"
1, "U have been specially selected 2 receive a $900 prize. Reply YES to claim."
1, "Text STOP to opt out. Your prize expires in 24 hours. Call now free!"
1, "Congratulations you win 1 week holiday to Canary Islands. Text HOLIDAY to claim."
1, "FINAL NOTICE: Your free gift is waiting. Call 09061743811 to claim immediately."
0,  "Hey are you coming to the party tonight? Let me know!"
0,  "I will be home around 7pm. Do you want me to pick up anything?"
0,  "Can you call me when you get a chance? Nothing urgent."
0,  "Your appointment is confirmed for tomorrow at 10am. See you then."
0,  "Just wanted to say thanks for helping out yesterday. Really appreciate it."
0,  "Running 10 mins late. Start without me!"
0,  "Did you see the game last night? What a match!"
0,  "Happy birthday! Hope you have a wonderful day."
0,  "Reminder: dentist appointment on Friday at 3pm."
0,  "I have finished the report and sent it to you by email. Let me know if you need changes."
0,  "Can we reschedule our meeting to Thursday instead?"
0,  "Just landed. Will be at yours in about an hour."
0,  "Dinner was great last night. We should do it again soon!"
0,  "The kids are fine. We had a fun day at the park."
0,  "Do not forget to bring your ID tomorrow. You will need it."
